Dist to GSO,Time,Hex,DS Type,Flight #,Aircraft_Reg,Aircraft_Type,Altitude Baro,Altitude Geom,Ground Speed,Track,Baro Rate,Squawk,Emergency,Category,Latitude,Longitude,NIC Navigation Integrity Category,RC Navigation Accuracy Category,Seen Position,Version,NIC Baro,NAC P,NAC V,SIL Source Integrity Level ,SIL Type,GVA,SDA System Design Assurance,Alert,SPI,MLAT,TISB,Messages,Seen,RSSI
9.157621220309727,000255Z,a0ae33,adsb_icao,DAL2277 ,N143DU,BCS1,34000,35825,412.8,212.54,,1620,none,A3,36.226044,-79.835129,8,186,0.411,2,1,10,1,3,perhour,2,2,0,0,[],[],49754801,0.0,-9.7
0.4712548011189142,000255Z,adda23,mode_s,,N992AT,B712,ground,,0.0,,,5113,none,,,,,,,2,,9,1,3,perhour,,2,,,[],[],42326331,5.8,-21.2
7.3198588146150225,000300Z,acd0c2,adsb_icao,PDT5754 ,N925AE,E145,31000,32450,526.1,64.8,0,1770,none,A2,36.176349,-80.052698,8,186,0.288,2,1,9,1,3,perhour,2,2,0,0,[],[],24846127,0.1,-13.6
6.90616334990007,000300Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1600,1400,126.1,79.49,0,1200,none,A7,35.982785,-79.9419,9,75,0.62,2,1,10,2,3,perhour,2,2,0,0,[],[],350744,0.1,-20.5
8.584358331527682,000300Z,a0ae33,adsb_icao,DAL2277 ,N143DU,BCS1,34000,35825,412.8,212.54,,1620,none,A3,36.217987,-79.84148,8,186,0.457,2,1,10,1,3,perhour,2,2,0,0,[],[],49754846,0.1,-13.8
5.423152693444866,000300Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,527.8,54.56,,7215,none,A3,36.127935,-79.83192,8,186,0.099,2,1,10,1,3,perhour,2,2,0,0,[],[],59930140,0.0,-13.2
0.4712548011189142,000300Z,adda23,mode_s,,N992AT,B712,ground,,0.0,,,5113,none,,,,,,,2,,9,1,3,perhour,,2,,,[],[],42326333,3.6,-21.1
7.066581884439031,000305Z,acd0c2,adsb_icao,PDT5754 ,N925AE,E145,31000,32450,525.1,62.31,0,1770,none,A2,36.181824,-80.039291,8,186,0.304,2,1,9,1,3,perhour,2,2,0,0,[],[],24846170,0.0,-11.8
6.872368810627313,000305Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1575,1400,126.1,79.49,-128,1200,none,A7,35.983292,-79.938526,9,75,0.946,2,1,10,2,3,perhour,2,2,0,0,[],[],350755,0.9,-20.8
7.954457802606319,000305Z,a0ae33,adsb_icao,DAL2277 ,N143DU,BCS1,34000,35825,412.8,212.54,,1620,none,A3,36.209106,-79.848404,8,186,0.027,2,1,10,1,3,perhour,2,2,0,0,[],[],49754890,0.0,-9.6
